,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Ticker
1154,2018-06-30,USD,2017000000,2458000000,441000000,1674000000,170000000,424000000,None,441000000,1000000,-107000000,None,107000000,2565000000,26000000,None,282000000,85000000,24000000,109000000,68000000,-297000000,192000000,474000000,61000000,IQV
1155,2018-03-31,USD,4584000000,5030000000,446000000,1652000000,183000000,420000000,None,446000000,2000000,-96000000,None,96000000,2563000000,-4000000,None,282000000,88000000,19000000,96000000,73000000,274000000,184000000,466000000,69000000,IQV
1156,2022-12-31,USD,62583000,119321000,56738000,56738000,-48462000,73848000,37197000,111045000,2894000,-1354000,2894000,1354000,119321000,46000,11400000,20595000,-46853000,-200000,1354000,-46676000,-43261000,-45499000,-24904000,-46653000,FSLY
1157,2022-09-30,USD,52679000,108504000,55825000,55825000,-65765000,79487000,38957000,118444000,1967000,-1381000,1967000,1381000,108504000,1877000,10700000,9217000,-63320000,100000,1381000,-63402000,-63556000,-61939000,-52722000,-63420000,FSLY
1158,2022-06-30,USD,46052000,102518000,56466000,56466000,-68968000,76303000,38717000,115020000,1502000,-1530000,1502000,1530000,156918000,-1673000,10700000,9118000,-16278000,159000,-52870000,-16437000,-19483000,-14748000,-5630000,-16437000,FSLY
1159,2022-03-31,USD,48467000,102382000,53915000,53915000,-63004000,71034000,40437000,111471000,681000,-1622000,681000,1622000,102114000,-279000,9900000,18413000,-64224000,40000,1622000,-64264000,-71133000,-62602000,-44189000,-64264000,FSLY
1160,2021-12-31,USD,49773000,97717000,47944000,47944000,-56656000,71432000,34997000,106429000,552000,-1593000,552000,1593000,97840000,201000,8100000,-14418000,-57496000,25000,1593000,-57521000,-59728000,-55903000,-70321000,-57521000,FSLY
1161,2021-09-30,USD,45491000,86735000,41244000,41244000,-54934000,67897000,32528000,100425000,280000,-1555000,280000,1555000,86735000,41000,7400000,9424000,-56168000,30000,1555000,-56198000,-56357000,-54613000,-45189000,-56198000,FSLY
1162,2021-06-30,USD,44706000,85026000,40320000,40320000,-57468000,71828000,30346000,102174000,276000,-1436000,276000,1436000,85026000,178000,6900000,6550000,-58450000,-155000,1436000,-58295000,-58419000,-57014000,-50464000,-58295000,FSLY
1163,2021-03-31,USD,47358000,84852000,37494000,37494000,-49963000,68333000,28988000,97321000,174000,-661000,174000,661000,84825000,-64000,6400000,13016000,-50514000,169000,661000,-50683000,-50826000,-49853000,-36837000,-50683000,FSLY
1164,2020-12-31,USD,48896000,82649000,33753000,33753000,-57344000,80650000,25590000,106240000,178000,-452000,178000,452000,81863000,-697000,5500000,19700000,-58315000,-12611000,452000,-45704000,-45822000,-57863000,-38163000,-45704000,FSLY
1165,2020-09-30,USD,41346000,70638000,29292000,29292000,-23454000,46529000,18271000,64800000,353000,-410000,353000,410000,70638000,69000,4900000,100000,-23442000,336000,410000,-23742000,-24039000,-23032000,-22932000,-23778000,FSLY
1166,2020-06-30,USD,44966000,74663000,29697000,29697000,-14438000,42749000,16655000,59404000,378000,-371000,378000,371000,74663000,-53000,4700000,100000,-14484000,-24000,371000,-14460000,-14762000,-14113000,-14013000,-14460000,FSLY
1167,2020-03-31,USD,35659000,62924000,27265000,27265000,-11976000,33337000,14298000,47635000,719000,-316000,719000,316000,62924000,402000,4700000,100000,-11171000,819000,316000,-11990000,-11499000,-10855000,-10755000,-11990000,FSLY
1168,2019-12-31,USD,33408000,58936000,25528000,25528000,-14031000,34488000,12951000,47439000,856000,-391000,856000,391000,58871000,-198000,4800000,16316200,-13764000,309000,391000,-14073000,-13855000,-13373000,2943200,-14073000,FSLY
